時間,じかん
一つ,ひとつ
国,くに
出す,だす
外国,がいこく
大人,おとな
二つ,ふたつ
見える,みえる
出る,でる
,から
小学校,しょうがっこう
後ろ,うしろ
三つ,みっつ
天気,てんき
白い,しろい
,みんな
言う,いう
川,かわ
,ちょっと
男の子,おとこのこ
自分,じぶん
会社,かいしゃ
仕事,しごと
作る,つくる
少し,すこし
口,くち
,いつ
四つ,よっつ
見つかる,みつかる
歌,うた
広い,ひろい
学校,がっこう
大学,だいがく
思う,おもう
,あまり
名前,なまえ
社会,しゃかい
電話,でんわ
お母さん,おかあさん
六,ろく
走る,はしる
言葉,ことば
,この
午後,ごご
音,おと
元気,げんき
売る,うる
見せる,みせる
電車,でんしゃ
毎日,まいにち
研究,けんきゅう
呼ぶ,よぶ
左,ひだり
地図,ちず
大きい,おおきい
お父さん,おとうさん
送る,おくる
少ない,すくない
木,き
一人,ひとり
,どこ
考える,かんがえる
社長,しゃちょう
二人,ふたり
百,ひゃく
,の
外,そと
半分,はんぶん
,に
,は
山,やま
工場,こうじょう
五つ,いつつ
集める,あつめる
近い,ちかい
場所,ばしょ
気,き
女の子,おんなのこ
全部,ぜんぶ
両親,りょうしん
雪,ゆき
予定,よてい
選ぶ,えらぶ
文化,ぶんか
二,に
外国人,がいこくじん
最近,さいきん
自由,じゆう
,おもちゃ
警察,けいさつ
運ぶ,はこぶ
安全,あんぜん
番組,ばんぐみ
例えば,たとえば
五,ご
何,なに
三,さん
,また
聞こえる,きこえる
母,はは
今日,きょう
父,ちち
台風,たいふう
,きれい
小説,しょうせつ
,これ
空港,くうこう
庭,にわ
毎月,まいつき
相手,あいて
出身,しゅっしん
押す,おす
高い,たかい
本,ほん
,アメリカ
午前,ごぜん
時々,ときどき
同じ,おなじ
,ここ
電気,でんき
使う,つかう
経験,けいけん
右,みぎ
,まだ
聞く,きく
金曜日,きんようび
話,はなし
作家,さっか
地震,じしん
重い,おもい
毎年,まいとし
病院,びょういん
昔,むかし
食べる,たべる
南,みなみ
高校,こうこう
頼む,たのむ
小さい,ちいさい
音楽,おんがく
新聞,しんぶん
,こちら
北,きた
月曜日,げつようび
見る,みる
種類,しゅるい
英語,えいご
約束,やくそく
雨,あめ
,どちら
思い出,おもいで
落ちる,おちる
発表,はっぴょう
夕方,ゆうがた
読む,よむ
絵,え
歌手,かしゅ
,なぜ
休み,やすみ
,でも
日記,にっき
,とても
,いくら
違い,ちがい
旅行,りょこう
お金,おかね
長い,ながい
受ける,うける
自転車,じてんしゃ
新しい,あたらしい
探す,さがす
病気,びょうき
冬,ふゆ
入れる,いれる
趣味,しゅみ
世界,せかい
犬,いぬ
七つ,ななつ
違う,ちがう
準備,じゅんび
政府,せいふ
,ページ
,どれ
中学生,ちゅうがくせい
夫婦,ふうふ
七,しち
性格,せいかく
旅館,りょかん
,いくつ
今年,ことし
大切,たいせつ
今月,こんげつ
生まれる,うまれる
手紙,てがみ
心配,しんぱい
左右,さゆう
終わる,おわる
図書館,としょかん
弟,おとうと
実は,じつは
先月,せんげつ
明日,あした
楽,らく
部長,ぶちょう
,コーヒー
,あの
環境,かんきょう
,さん
習慣,しゅうかん
先輩,せんぱい
,あげる
着物,きもの
部屋,へや
入学,にゅうがく
広告,こうこく
紙,かみ
